,timestamp,question,engine,rating
0,2026-08-15T02:27:32.001000,which category made the most revenue,Text search,1
1,2026-08-15T02:28:58.930203,Which category generated the most revenue?,Text search,1
2,2026-08-15T02:29:52.027945,What is the total revenue in the US?,Text search,1
3,2026-08-15T02:31:01.458982,How much revenue comes from the Email marketing channel?,Text search,1
4,2026-08-15T02:32:01.164247,Which category has the lowest average order value?,Text search,1
5,2026-08-15T02:32:40.492340,Which country has the fewest customers?,Text search,1
6,2026-08-15T02:33:40.839357,Compare revenue between Electronics and Home?,Text search,1
7,2026-08-15T02:34:49.421364,What is the refund rate overall?,Text search,1
8,2026-08-15T02:39:25.483656,Which country spent the most money?,Text search,1
9,2026-08-15T02:40:31.331401,how did Platinum tier customers perform,Text search,1
10,2026-08-15T02:43:18.040935,how did Platinum tier customers perform,Text search,1
11,2026-08-15T02:43:54.939956,Which month had the highest revenue?,Text search,1
12,2026-08-15T02:45:14.917888,Which campaign generated the most revenue?,Text search,1
13,2026-08-15T02:46:39.522797,What are the monthly revenue trends?,Text search,1
14,2026-08-15T02:47:44.061469,What product category had the lowest revenue?,Text search,1
15,2026-08-15T02:52:23.761775,What is the average order value for Beauty?,Text search,1
16,2026-08-15T02:53:10.672757,How much revenue did the Beauty category generate,Text search,1
17,2026-08-15T02:53:52.540830,How much revenue did the Electronics category generate?,Text search,1
